model,task_order,no_noise_mean,no_noise_std,no_noise_n,noise_mean,noise_std,noise_n,noise_informed_mean,noise_informed_std,noise_informed_n,p_no_noise_vs_noise,p_no_noise_vs_noise_informed,p_noise_vs_noise_informed
gpt-5-nano,Game Only,27.8,5.5,9,37.5,13.3,15,51.2,11.9,15,0.5927,0.0036,0.1501
gpt-5-nano,Game → Myth,31.9,7.7,48,42.4,11.2,14,50.3,9.8,15,0.0121,0.0,1.0
gpt-5-nano,Myth → Game,36.5,12.1,48,45.2,10.1,13,53.0,9.6,15,0.0613,0.0004,1.0
claude-sonnet-4.5,Game Only,55.0,0.0,10,32.6,1.4,15,33.6,1.3,15,0.0003,0.0003,0.7403
claude-sonnet-4.5,Game → Myth,56.5,3.7,20,36.8,1.8,13,37.9,2.5,15,0.0,0.0,1.0
claude-sonnet-4.5,Myth → Game,55.5,2.2,20,37.0,3.0,15,37.5,4.2,15,0.0,0.0,1.0
gemini-3.1-pro-preview,Game Only,73.0,6.3,10,30.3,1.1,15,30.5,0.8,15,0.0003,0.0003,1.0
gemini-3.1-pro-preview,Game → Myth,75.0,0.0,20,30.1,1.2,14,29.9,0.6,14,0.0,0.0,1.0
gemini-3.1-pro-preview,Myth → Game,75.0,0.0,20,29.3,1.3,15,29.4,1.1,15,0.0,0.0,1.0
